CMDLINE c:\tools\anaconda3\python.exe mem_profile.py
MEM 1.542969 1641516213.1009
MEM 14.539062 1641516213.2059
MEM 22.601562 1641516213.3109
MEM 28.328125 1641516213.4161
MEM 34.824219 1641516213.5213
MEM 39.960938 1641516213.6264
MEM 40.335938 1641516213.7313
MEM 102.425781 1641516213.8364
